"","id","enrollment_data_score","retention_data_score","price_data_score","ratio_data_score","enrollment_trend","price_trend","retention_trend","ratio_trend","total"
"1249",449931,1,0,1,1,NA,NA,NA,NA,NA
"1250",451370,1,1,1,1,NA,NA,NA,NA,NA
"1251",451398,0,0,1,1,NA,NA,NA,NA,NA
"1252",451404,0,1,1,1,NA,NA,NA,NA,NA
"1253",451866,1,0,0,1,NA,NA,NA,NA,NA
"1254",454184,0,1,0,0,1,0,0,1,2
"1255",455257,0,0,1,1,NA,NA,NA,NA,NA
"1256",455770,0,1,0,0,0,0,0,1,1
"1257",456481,1,1,1,1,NA,NA,NA,NA,NA
"1258",456490,1,1,1,1,NA,NA,NA,NA,NA
"1259",457022,1,1,0,1,NA,NA,NA,NA,NA
"1260",457086,1,0,0,1,NA,NA,NA,NA,NA
"1261",457226,1,0,1,1,NA,NA,NA,NA,NA
"1262",457402,0,0,0,0,NA,NA,NA,NA,NA
"1263",457484,1,0,0,1,NA,NA,NA,NA,NA
"1264",457697,0,0,0,0,NA,NA,NA,NA,NA
"1265",458113,1,1,0,0,2,0,0,0,2
"1266",459417,0,0,1,1,NA,NA,NA,NA,NA
"1267",459727,0,0,1,1,NA,NA,NA,NA,NA
"1268",459842,1,1,0,1,NA,NA,NA,NA,NA
"1269",459851,1,1,0,1,NA,NA,NA,NA,NA
"1270",460075,1,1,1,1,NA,NA,NA,NA,NA
"1271",460349,1,1,0,1,NA,NA,NA,NA,NA
"1272",460783,0,1,1,1,NA,NA,NA,NA,NA
"1273",460899,1,1,0,1,NA,NA,NA,NA,NA
"1274",461032,1,1,0,1,0,0,2,2,4
"1275",461236,0,1,1,1,NA,NA,NA,NA,NA
"1276",461528,0,1,1,1,NA,NA,NA,NA,NA
"1277",461759,0,1,1,1,NA,NA,NA,NA,NA
"1278",461795,1,1,0,1,NA,NA,NA,NA,NA
"1279",462354,0,0,0,1,NA,NA,NA,NA,NA
"1280",465812,0,1,0,1,NA,NA,NA,NA,NA
"1281",469416,1,1,1,1,NA,NA,NA,NA,NA
"1282",474863,0,1,1,1,NA,NA,NA,NA,NA
"1283",474890,1,1,0,1,NA,NA,NA,NA,NA
"1284",474906,0,1,0,1,NA,NA,NA,NA,NA
"1285",475237,0,0,0,0,NA,NA,NA,NA,NA
